pdf_url,viewer_url
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/646619eab9c393014c021d48,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/01_20192705_P1_Q?e=0|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/646619eb07aca6c5600199ee,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/01_20192705_P2_Q?e=1|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/646619eb3fd6c2746e06685c,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/01_20202709_P1_Q?e=2|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/646619ea006419f86307e1f8,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/01_20202709_P2_Q?e=3|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/65c9d4062140b2835701d16b,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/01_20210310_P1_Q?e=4|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/65c9d4232140b2835701d242,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/01_20210310_P2_Q?e=5|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/65c9d4144bf22ecdac0a6f74,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/01_20222808_P1_Q?e=6|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/65c9d4033e030c36820fc892,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/01_20222808_P2_Q?e=7|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/660e7c7c0db260d9810058c2,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/01_20230406_P1_Q?e=8|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/660e7c7a51735ad20e038b46,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/01_20230406_P2_Q?e=9|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/60313458a28545696228f463,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/12037?e=10|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/603134625df26b7bbe5f00f3,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/12077?e=11|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/60313326655264287d7cfc03,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/3891?e=12|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/60313490ac54e577192ae335,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/3892?e=13|*|||
http://ndl.iitkgp.ac.in/serveFile/ndli_tutor_jee_advanced/603133bb05c5627b740627d9,http://ndl.iitkgp.ac.in/se_document/ndli_tutor_jee_advanced/123456789_iitjeeadv/3893?e=14|*|||
